product,quantity,price
Mouse,3,30
Monitor,3,200
Charger,5,25
Headphones,3,100
Mouse,3,30
Speaker,2,120
Tablet,3,300
Mouse,5,30
Charger,1,25
Headphones,1,100
Monitor,1,200
Charger,5,25
Charger,1,25
Tablet,2,300
Keyboard,5,50
Headphones,5,100
Smartphone,5,600
Charger,3,25
Keyboard,3,50
Smartphone,3,600
Headphones,4,100
Laptop,2,800
Speaker,5,120
Keyboard,5,50
Webcam,3,70
Laptop,5,800
Speaker,5,120
Tablet,1,300
Mouse,5,30
Monitor,4,200
Webcam,3,70
Tablet,2,300
Headphones,2,100
Tablet,1,300
Mouse,2,30
Headphones,2,100
Webcam,3,70
Mouse,3,30
Smartphone,4,600
Monitor,1,200
Webcam,2,70
Smartphone,4,600
Speaker,1,120
Webcam,2,70
Speaker,2,120
Headphones,3,100
Smartphone,5,600
Monitor,1,200
Mouse,2,30
Charger,1,25
Tablet,4,300
Laptop,4,800
Monitor,5,200
Smartphone,2,600
Charger,3,25
Monitor,2,200
Smartphone,1,600
Keyboard,4,50
Keyboard,1,50
Speaker,5,120
Monitor,4,200
Keyboard,3,50
Smartphone,4,600
Speaker,2,120
Smartphone,2,600
Speaker,4,120
Monitor,5,200
Charger,2,25
Mouse,2,30
Webcam,3,70
Charger,4,25
Headphones,2,100
Smartphone,5,600
Headphones,1,100
Charger,4,25
Speaker,3,120
Webcam,2,70
Webcam,5,70
Laptop,4,800
Webcam,5,70
Mouse,5,30
Webcam,3,70
Charger,4,25
Laptop,2,800
Charger,3,25
Charger,2,25
Tablet,1,300
Laptop,5,800
Charger,1,25
Tablet,5,300
Tablet,3,300
Laptop,2,800
Headphones,2,100
Speaker,3,120
Mouse,4,30
Speaker,1,120
Webcam,1,70
Mouse,2,30
Webcam,2,70
Charger,2,25
Smartphone,3,600
Laptop,4,800
Mouse,1,30
Mouse,5,30
Charger,3,25
Headphones,1,100
Tablet,4,300
Charger,3,25
Keyboard,1,50
Tablet,3,300
Laptop,1,800
Tablet,1,300
Headphones,4,100
Tablet,5,300
Laptop,4,800
Headphones,1,100
Speaker,3,120
Mouse,4,30
Mouse,5,30
Webcam,1,70
Speaker,4,120
Speaker,4,120
Tablet,4,300
Mouse,4,30
Laptop,3,800
Monitor,5,200
Monitor,5,200
Headphones,1,100
Mouse,2,30
Mouse,3,30
Monitor,1,200
Mouse,1,30
Tablet,4,300
Keyboard,2,50
Smartphone,2,600
Speaker,3,120
Webcam,2,70
Headphones,1,100
Keyboard,2,50
Monitor,2,200
Speaker,5,120
Mouse,1,30
Webcam,2,70
Mouse,2,30
Laptop,4,800
Laptop,2,800
Webcam,2,70
Webcam,5,70
Monitor,1,200
Webcam,3,70
Tablet,1,300
Mouse,4,30
Keyboard,1,50
Charger,2,25
Webcam,4,70
Headphones,1,100
Laptop,4,800
Tablet,3,300
Speaker,1,120
Charger,2,25
Keyboard,4,50
Charger,5,25
Webcam,4,70
Monitor,5,200
Laptop,2,800
Laptop,3,800
Speaker,5,120
Monitor,3,200
Mouse,4,30
Smartphone,2,600
Tablet,5,300
Laptop,4,800
Headphones,1,100
Laptop,4,800
Charger,3,25
Laptop,2,800
Laptop,2,800
Smartphone,4,600
Smartphone,1,600
Keyboard,3,50
Mouse,4,30
Headphones,4,100
Laptop,2,800
Laptop,3,800
Tablet,1,300
Smartphone,2,600
Headphones,4,100
Speaker,2,120
Keyboard,2,50
Mouse,5,30
Monitor,2,200
Mouse,2,30
Charger,3,25
Laptop,2,800
Keyboard,1,50
Charger,4,25
Headphones,3,100
Monitor,2,200
Smartphone,1,600
Keyboard,4,50
Keyboard,3,50
Laptop,1,800
Webcam,2,70
Keyboard,5,50
Tablet,5,300
Monitor,3,200
Monitor,1,200
Tablet,4,300
Speaker,1,120
Tablet,5,300
Tablet,3,300
Monitor,2,200
Mouse,1,30
Monitor,5,200
Webcam,4,70
Laptop,3,800
Charger,2,25
Mouse,1,30
Smartphone,4,600
Charger,2,25
Laptop,5,800
Webcam,5,70
Webcam,4,70
Smartphone,5,600
Mouse,3,30
Speaker,4,120
Tablet,5,300
Mouse,1,30
Speaker,5,120
Webcam,3,70
Monitor,2,200
Laptop,2,800
Smartphone,5,600
Laptop,2,800
Headphones,5,100
Headphones,3,100
Mouse,2,30
Webcam,1,70
Webcam,5,70
Tablet,2,300
Tablet,3,300
Tablet,3,300
Monitor,1,200
Charger,3,25
Keyboard,3,50
Charger,2,25
Laptop,5,800
Charger,4,25
Monitor,3,200
Laptop,3,800
Charger,4,25
Monitor,3,200
Keyboard,2,50
Charger,2,25
Monitor,4,200
Tablet,3,300
Webcam,3,70
Tablet,5,300
Webcam,3,70
Smartphone,2,600
Smartphone,1,600
Smartphone,1,600
Keyboard,1,50
Tablet,1,300
Webcam,3,70
Monitor,3,200
Laptop,5,800
Monitor,3,200
Laptop,1,800
Headphones,4,100
Monitor,4,200
Charger,2,25
Charger,2,25
Mouse,3,30
Tablet,4,300
Laptop,1,800
Laptop,1,800
Tablet,1,300
Keyboard,3,50
Mouse,3,30
Keyboard,5,50
Keyboard,1,50
Keyboard,1,50
Tablet,3,300
Keyboard,3,50
Charger,5,25
Smartphone,5,600
Headphones,2,100
Laptop,4,800
Laptop,1,800
Headphones,1,100
Tablet,5,300
Monitor,5,200
Tablet,2,300
Laptop,4,800
Laptop,2,800
Headphones,4,100
Keyboard,1,50
Tablet,2,300
Webcam,5,70
Headphones,2,100
Charger,2,25
Laptop,1,800
Headphones,5,100
Tablet,5,300
Laptop,3,800
Monitor,3,200
Headphones,3,100
Mouse,1,30
Laptop,2,800
Tablet,5,300
Smartphone,5,600
Webcam,2,70
Speaker,5,120
Keyboard,2,50
Speaker,1,120
Tablet,1,300
Charger,1,25
Charger,2,25
Smartphone,2,600
Keyboard,4,50
Mouse,5,30
Smartphone,5,600
Speaker,4,120
Smartphone,4,600
Speaker,1,120
Laptop,4,800
Charger,2,25
Laptop,3,800
Webcam,2,70
Keyboard,4,50
Mouse,5,30
Speaker,2,120
Mouse,5,30
Speaker,2,120
Tablet,5,300
Smartphone,2,600
Webcam,5,70
Charger,3,25
